code,name
105630, GARTAD 1
105631, KATHORA 1
105632, KATHORA 2
110704,Anwarde ku 1
111354,Anwarde ku 2
111336,Anwarde ku 3
111513,Bhagyoday MALKHEDA
106413,BHOKARI 1
106428,BHOKARI 2
110952,Borajanti 1
110939,Borajanti 2
111391,Budhgaon 1
111403,Budhgaon 3
106481,Chandsani 1
106459,Chandsani 2
111225,Darga ali CHOPDA
111615,Dhanora pr chopda
105634,DHANWADI
107050,Dnyandip GALWADE
111635,EKTA BHARDU
111586,Galangi 1
111600,Galangi 2
106146,GARTAD 2
105623,Ghumaval bk
105626,Ghumaval kh
105654,Gorgawale BK 1
105644,Gorgawale BK 4
105641,Gorgawale BK 5
105668,Gorgawle ku 1
105674,Gorgawle ku 2
106786,Hated bu 1
106724,Hated bu 2
106689,Hated bu 3
106752,Hated bu 4
106861,Hated ku
106930,Hated ku 2
107012,Hated ku3
105628,Jay shri dadaji Machala
111142,Jirayat pada
106532,KAMALGAON 1
106506,KAMALGAON 2
105633,KATHORA 3
105639,Khadgaon 1
105640,Khadgaon 2
106386,Khedi 3
105637,Kolamba 1
105636,kolamba 2
105638,Kolamba 3
111198,Malharpura CHOPDA
111113,Melane 1
111096,Melane 2
111067,Nagalwadi 1
110971,Nagalwadi 2
110962,Nagalwadi 3
111056,Nagalwadi 4
111083,Nagalwadi 5
114634,PATILGADI SHIMPI WADA CHOPDA
106561,Pimpri
111371,Pragati BUDHGAON 2
105646,RAM BAL MANDIR GORGAWALE 3
111211,Rangarao aaba nagar CHOPDA
106610,Rukhankheda pr adawad
105625,Rukhankheda pr ch 01
105624,Rukhankheda pr ch 02
105627,SARASWATI Machala
111499,Shendani
105650,Shri krushn balak mandir GORGAWLE 2
105622,TAVSE KH
105629,UJWAL MAJREHOL
106364,Unapdev
105635,Vadgaon sim
110929,Varad 1
110917,Varad 2
106204,VARDI 1
106253,VARDI 2
106168,VARDI 3
106331,VARDI 4
106220,VARDI 5
106309,VARDI 6
106284,VARDI 7
106350,VARDI 8
111483,Vikas WALKI
111529,Vitner 1
111550,Vitner 2
