code,name
120902,Adgaon 01
120986,Adgaon 02
121038,Adgaon 03
121086,Adgaon 04
121133,Adgaon 05
121207,Amalwadi
121264,Ambale06
131188,ARUN NAGAR CHOPDA
131215,BHAT GALLI CHOPDA
121336,BORKHEDA
128779,Chaugaon 1
129896,Chugaon 503
129912,Chugaon 504
129926,Chunchale 505
129946,Chunchale 506
129964,Chunchale 507
129982,Chunchale 508
130005,Chunchale 509
130028,Chunchale 510
131151,Didiyapada
130063,Gaurya Pada 12
131103,Karjane 1
131130,Karjane 2
130089,Kharad07
130109,Krushnapur
130139,Lasur 514
130154,LASUR 515
130178,Lasur 516
130202,Lasur 517
130227,Lasur 518
130242,Lasur 519
130263,Lasur 520
130280,Lasur 521
130301,Lasur 522
130320,Lasur 523
130347,Malalpur 208
130370,Malalpur 209
130398,Mamlade 524
130458,Mamlade 525
130486,Mamlade 526
130510,Mamlade 527
130533,Marathe 528
130557,Morchida
130582,Narod10
130619,Narwade 211
130646,Narwade 212
131293,PUNDALIK NAGAR CHOPDA
130669,Satrasen 530
130682,Satrasen 531
130709,Satrasen 532
131243,SUNDARGADHI CHOPDA
114679,Tandalwadi 1 Awc
131266,THALNER DARWAJA CHOPDA
130730,Ujad Karjana
130751,Umarti 533
130771,Umarti 534
130789,Uttamnager 535
130818,VADATI 1
130836,VADATI 2
130859,Virwade 213
130889,Virwade 214
130909,Virwade 215
130938,Virwade 216
130963,Virwade 217
130999,Virwade 218
131021,Virwade 219
131045,Vishnapur 220
131075,Vishnapur 221
