code,name
113137,ADAWAD 101
113180,ADAWAD 102
113070,ADAWAD 103
113093,ADAWAD 104
113116,ADAWAD 105
113082,ADAWAD 106
113099,ADAWAD 107
113062,ADAWAD 108
113157,ADAWAD 109
113182,ADAWAD 110
113075,ADAWAD 111
113170,ADAWAD 112
113166,ADAWAD 113
112867,ADAWAD 114
113128,ADAWAD 115
113189,ADAWAD 117
113134,ADAWAD 118
113196,ADAWAD 119
113123,ADAWAD 120
113119,ADAWAD 121
113175,ADAWAD 122
113141,ADAWAD 123
113090,ADAWAD 124
113111,ADAWAD 125
113186,ADAWAD 126
113150,ADAWAD 127
113162,ADAWAD 128
113106,ADAWAD 156
113792,BIDGAON 302
113789,BIDGAON 303
113790,BIDGAON 304
113813,BORMALI 601
113787,CHANDNYATALAV 325
113815,DEVGAD 605
113780,DEVGAON 305
113779,DEVGAON 306
113816,DEVHARI 606
113835,DEVZHIRI 607
113732,DHANORA 07
113733,DHANORA 08
113734,DHANORA 09
113735,DHANORA 10
113736,DHANORA 11
113737,DHANORA 12
113738,DHANORA 13
113739,DHANORA 14
113740,KHARDI 315
113741,KHARDI 316
113743,KHARDI 317
113769,KUNDYAPANI 318
113755,LONI 319
113757,LONI 320
116961,MANGRUL 08
116972,MANGRUL 09
116982,MANGRUL 10
116995,MANGRUL 11
113764,MANYAVASTI 321
113782,MITAWALI 322
113776,MOHARAD 323
113775,MOHARAD 324
113750,PANCHAK 326
113747,PANCHAK 327
113752,PANCHAK 328
113745,PANDHARI 301
113771,PANSHEVRI 329
113759,PARGAON 330
113761,PARGAON 331
113783,PUNGAON 332
113200,RAMJIPADA 159
113766,SHEVRE 333
113794,SHEVREPADA 334
117059,SUTKAR 14
117077,SUTKAR 15
117014,VADGAON 17
117030,VADGAON 18
117046,VADGAON 19
113778,VARGAVAN 335
113777,VARGAVAN 336
117085,VATAR 428
