code,name
114612, BARI WADA CHOPDA
113985,Ajanti Seem 201
113142,Akhatwade Awc
114327,Akulkhede 101
114336,Akulkhede 102
114342,Akulkhede 103
114349,Akulkhede 104
114357,Akulkhede 105
114364,Akulkhede 106
113988,Anwarde Bk 202
113994,Bhawale 203
113997,Bhawale 204
114372,Chahardi 107
114387,Chahardi 108
114393,Chahardi 109
114405,Chahardi 110 Awc
114410,Chahardi 111Awc
114415,Chahardi 112 Awc
114422,Chahardi 113
114427,Chahardi 114
114432,Chahardi 115
114436,Chahardi 116
114442,Chahardi 117
114446,Chahardi 118
114452,Chahardi 119
114464,Chahardi Khadan Vasti Mini 121
114457,Chahardi Sakhar Karakhana 120
114000,Dagadi Bk 205
113875,Dhupe Bk. Awc
113879,Dhupe Kh. Awc
113884,Dondwade Awc
114003,Ganpur 206
114007,Ganpur 207
114009,Ganpur 208
114016,Ganpur 209
114020,Ganpur 210
113885,Ghadwel 1 Awc
114531,Ghadwel 2 Awc
114022,Ghodgaon 211
114033,Ghodgaon 212
114035,Ghodgaon 213
114036,Ghodgaon 214
114038,Ghodgaon 215
114470,Kajipura 122
113888,Khachane 1 Awc
113891,Khachane 2 Awc
114276,Kharya Pada 1
114652,Kharya Pada 2
113894,Kurvel 1 Awc
113896,Kurvel 2 Awc
113899,Kurvel 3 Awc
113903,Kurvel 4 Awc
114040,Kusumbe 216
114041,Kusumbe 217
114597,LOHIYANAGR CHOPDA
114475,Majare Hingone  Awc 123
114482,Majare Hingone Awc 124
114490,Mauje Hingone Awc 125
114042,Mohide 218
114043,Mohide Tanda 219
114307,Mulyavtar
113908,Nimgavhan 1 Awc
113913,Nimgavhan 2 Awc
113918,Nimgavhan 3 Awc
111185,PATILGADI TELI WADA CHOPDA
114604,PHULE NAGAR CHOPDA 
114616,SAMANTA NAGAR CHOPDA
114588,SANE GURUJIVASAHAT APARTMENT CHOPDA
114581,SANEGURUJI VASAHAT CHOPDA
113932,Sanpule 1 Awc
113935,Sanpule 2 Awc
113942,Sanpule 3 Awc
114316,Shenpani 21
114625,SHETPURA CHOPDA
114679,Tandalwadi 1 Awc
114684,Tandalwadi 2 Awc
113946,Tawase Bk. 1 Awc
113954,Tawase Bk. 2 Awc
114044,Vadhode 220
114045,Vadhode 221
114047,Vadhode 222
114205,Vaijapur 1
116704,Vaijapur 2
113957,Vele 1 Awc
113960,Vele 2 Awc
113963,Vichakhede Awc
114050,Welode 223
114051,Welode 224
114054,Welode 225
