code,name
5031,AHILYABAI HOLKAR MADHY. VIDYA. KAMALGAON
5192,ANU. MADYAMIK ASHRAM SCH. UMARTI
5168,ASHRAM SCH. HATED BK.
5104,BALMOHAN PRIMARY SCH. CHOPDA
5154,CHINDHABAI NIMBAJI PATIL SECANDARY SCHOOL MACHALE
5211,GOVT. ASHRAM SCHOOL VAIJAPUR
5043,KHAJGI PRI. SCH. WARDI
5097,KRANTI JYOTI SAVITRIBAI FULE MUNICIPAL HIGH SCHOOL CHOPDA
5150,L.H.PATIL SEC. SCH. KHEDIBHOKARI
5099,M. GANDHI MADHYAMIK VIDYALAY CHOPDA
5089,M.GANDHI S. P. MANDAL'S PRI. SCH. CHOPDA
5208,MADH. VIDY. NAGALWADI
5159,P.T.SALUNKE SEC. ANWARDE-BUDHGAON
5090,PANKAJ PRI. VIDYALAY CHOPDA
5101,PANKAJ SEC. & HIGHER SEC. SCH. CHOPDA
5169,R.Y.C. P.B. ASHRAM SCH HATED BK
5146,RAJENDRA SEC. SCH. GORGAWALE BK
5044,S.G.PATIL SEC. SCH. WARDI
5191,SAU. P.R. BHADLE PRI. ASH. SCH. UMARTI
5140,Sau. Shantabai Bhaskarao Patil Madh. Vidya. Walki-Shendani
5167,SHIVAJI SEC. SCH. HATED BK.
5152,SHRI GURUDEV MADHYA. VIDYALAYA KOLAMBA
5216,SHRI. CHATRAPATI SHIVAJI HIGHSCHOOL KATHORA
5037,SMT A.K.PATIL MADHY. VIDYAMANDIR MANGRUL
5036,Z. P. PRI. SCH. MANGRUL
5193,Z.P. UPP. PRI. SCH. BORAJANTI
5207,Z.P. KENDRYA PRI. SCH. NAGALWADI
5039,Z.P. PRI SCH. RUKHANKHEDE PRA. A.
5042,Z.P. PRI. SCH. WARDI
5142,Z.P. PRI. SCH. DHANWADI
5145,Z.P. PRI. SCH. GORGAWALE BK
5030,Z.P. PRI. SCH. KAMALGAON
5215,Z.P. PRI. SCH. KATHORA
5149,Z.P. PRI. SCH. KHEDIBHOKARI
5073,Z.P. PRI. SCH. MAJREHOL
5136,Z.P. PRI. SCH. MALKHEDA
5038,Z.P. PRI. SCH. PIMPRI
5040,Z.P. PRI. SCH. SUTKAR
5156,Z.P. PRI. SCH. TAWASE KH
5141,Z.P. PRI. SCH. VITNER
5157,Z.P. PRI. SCH. WADGAON SIM
5147,Z.P. PRI. SCH.GORGAWALE KH
5949,Z.P. PRI. SCH.WALAKI SHENDANI
5143,Z.P. PRI.SCH. GHUMAWAL BK
5144,Z.P. PRI.SCH. GHUMAWAL KH
5148,Z.P. PRI.SCH. KHADGAON
5155,Z.P. PRI.SCH. RUKHANKHEDA P C
5046,Z.P. PRI.SCH. WATAR
5158,Z.P. SCH. ANWARDE-BUDHGAON
5163,Z.P. SCH. GALANGI
5166,Z.P. SHIVAJI ADARSH PRI. SCH. HATED BK.
5151,Z.P. UPP SCH.KOLAMBA
5214,Z.P. UPP. PRI. SCH. GARTAD
5212,Z.P. UPP. PRI. SCH. VARAD
5153,Z.P. UPP. PRI. SCHOOL MACHLE
5041,Z.P. UPP.PRI. SCH. WADGAON BK.
5160,Z.P.PRI. SCH. BHARDU
5045,Z.P.PRI. SCH. KALBHAIRAV - WARDI
5228,ZP. PRI. SCH. DHANORE PRA.CHO
5235,ZP. PRI. SCH. VADGAON KH
5236,ZP. UPP. PRI. SCH. UNAPDEV
