code,name
5048,AADGAON HIGH SCH. AADGAON
5109,"ARTS, SC. & COM. COLLEGE, CHOPDA"
5107,BHAGINI MANDAL SANCHALIT PRERNA MATIMAND VIDYALAY CHOPDA
5190,D. R. B. SEC. & HIGHER CONDARY ASH. SATRASEN
5189,DHANAJI NANA PRI ASHRAM SCH. SATRASEN
5060,GOVT. ASHRAM SCH.VISHNAPUR
5180,GOVT. ASHRAM UPP. PRI. SCH. KRUSHNAPUR
5098,KAI. HI.MO. KARODPATI MADHYAMIK VIDYALAYA CHOPDA
5186,KAI. S. R. PATIL MADH. VIDY. MAMALDE
5094,KASTURBA MADHYAMIK VIDALAYA CHOPDA
5183,M. GANDHI SEC. & HIGH SEC. SCH. LASUR
5102,MADHYAMIK KANYA VIDYALAY CHOPDA
5108,MUKBADHIR VIKAS VIDYALAY CHOPDA
5174,NUTAN MADHY. VIDY. & JR. COLLEGE CHUNCHALE
5093,PRATHAMIK  KANYA VIDYA MANDIR CHOPDA
5054,PUJ. SANE GURUJI SEC. SCH. VADATI
5087,SMT. ANUSAYABAI MUKUNDRAO SALUNKHE PRI. VDIYA. CHOPDA
5057,VIDYA BHARATI PRIMARY SCHOOL VIRWADE
5056,VIDYA BHARATI SEC. SCH. VIRWADE
5047,Z.P KENDRIYA  PRI.  SCH.AADGAON
5058,Z.P NEW  PLOT.PRI.SCH. VIRWADE
5182,Z.P. GIRLS PRI. SCH. LASUR
5181,Z.P. KENDRY BOYS  PRI. SCH. LASUR
5078,Z.P. MARATHI PRI. SCH. NO.2 CHOPDA
5080,Z.P. MARATHI UPP.PRI.  GIRLS SCH. NO.2 CHOPDA
5079,Z.P. MARATHI UPP.PRI.  SCH. NO.3 CHOPDA
5077,Z.P. MARATHI UPP.PRI. SCH. NO.1 CHOPDA
5171,Z.P. PRI. SCH. AMMALWADI
5173,Z.P. PRI. SCH. CHUNCHALE
5187,Z.P. PRI. SCH. MARATHE
5188,Z.P. PRI. SCH. MORCHIDA
5050,Z.P. PRI. SCH.BORKHEDA
5053,Z.P. PRI. SCH.VADATI
5200,Z.P. PRI.SCH. GAURYAPADA
5185,Z.P. PRI.URDU SCH. MAMALDE
5059,Z.P. SCH. VISHNAPUR
5172,Z.P. UPP. PRI. SCH. CHAUGAON
5184,Z.P. UPP. PRI. SCH. MAMALDE
5081,Z.P. UPPER.PRI. URDU BOYS SCH. NO.2 CHOPDA
5082,Z.P. UPPER.PRI. URDU BOYS SCH. NO.3 CHOPDA
5083,Z.P. UPPER.PRI. URDU BOYS SCH. NO.4 CHOPDA
5084,Z.P. UPPER.PRI. URDU BOYS SCH. NO.5 CHOPDA
5085,Z.P. UPPER.PRI. URDU GIRLS SCH. NO.1 CHOPDA
5086,Z.P. UPPER.PRI. URDU GIRLS SCH. NO.2 CHOPDA
5049,Z.P.PRI. SCH. AMBADE
5203,Z.P.PRI. SCH. KARJANA
5179,Z.P.PRI. SCH. KRUSHNAPUR
5051,Z.P.PRI. SCH. MALAPUR
5052,Z.P.PRI. SCH. NARWADE
5055,Z.P.PRI. SCH.VIRWADE
5205,Z.P.UPP. PRI. SCH. MELANE
5229,ZP. PRI. SCH. JIRAYATPADA
5230,ZP. PRI. SCH. UTTAMNAGAR
5175,ZP. SCH. KARJANE CHUNCHALE
