code,name
5116,A.V.MISSION SCH. SHALEMPUR DHANORA
5026,ANGLO URDU HIGH SCHOOL ADAWAD
5194,ANU. PRI. ASHRAM SCH. BORAJANTI
5118,ANUDANIT AADIVASI ASHRAM SCH. DHANORA
5119,ANUDANIT ADIVASI MADHYAMIK ASHRAM SHALA DHANORA
5198,GOVT. P0ST BESIC ASH. SCH. DEVZIRI
5028,KHAJGI ADARSHA PRI. SCH. ADAWAD
5195,MADHYAMIK V.ASHRAM SCH. BORAJANTI
5105,NATIONAL PRI. URDU SCH. CHOPDA
5027,NUTAN DNYAN MANDIR ADAWAD
5111,O.G.PATIL MADH. VIDY. KUNDYAPANI -BIDGAON
5095,PRATAP VIDYA MANDIR (SEC.) SCH. CHOPDA
5091,PRATAP VIDYA MANDIR PRI.SCH. CHOPDA
5023,SARVAJANIK KHAJGI PRI VIDYA MANDIR ADAWAD
5024,SARVAJANIK VIDYA. ADAWAD
5025,SHAMRAO YESO MAHAJAN VIDYA. ADAWAD
5033,SHARADA MADHY. VIDYA. KHARDI
5112,Z P NEW PRI SCH BADVANI
5022,Z.P.  SCH. PANDHARI
5020,Z.P. GIRLS  PRI.SCH. ADAWAD
5019,Z.P. KENDRIYA PRIMARY BOYS SCHOOL ADAWAD
5129,Z.P. PRI SHEVARE BK.SCH.
5110,Z.P. PRI. SCH. BIDGAON
5196,Z.P. PRI. SCH. BORMALI
5197,Z.P. PRI. SCH. DEVHARI
5032,Z.P. PRI. SCH. KHARDI
5034,Z.P. PRI. SCH. LONI
5121,Z.P. PRI. SCH. MITAWALI
5124,Z.P. PRI. SCH. PANCHAK
5126,Z.P. PRI.SCH. PARGAON
5113,Z.P. UPP.PRI. SCH. DEVGAV
5115,Z.P. UPPER PRI. URDU  SCH. DHANORA
5035,Z.P. URDU PRI. SCH. LONI
5123,Z.P. URDU PRI. SCH. MOHARAD
5125,Z.P. URDU PRI. SCH. PANCHAK
5021,Z.P. URDU UPP. PRI. SCH. ADAWAD
5114,Z.P.KENDRIYA PRI.SCH. DHANORA
5120,Z.P.PRI. SCH. KUNDYAPANI
5122,Z.P.PRI. SCH. MOHARAD
5128,Z.P.PRI. SCH.VARGAVHAN
5127,Z.P.UPP. PRI. SCH. PUNGAON
5117,Z.T.M  MADHY. VIDY. DHANORA
5237,ZP. PRI. SCH.  MANYARWASTI KHARDI
5233,ZP. PRI. SCH. BADHAI
5232,ZP. PRI. SCH. CHANDANYATALAV
5227,ZP. PRI. SCH. DEVGAD
5199,ZP. PRI. SCH. DEVZIRI
5238,ZP. PRI. SCH. DHUPMAY VASTIKHARDI
5231,ZP. PRI. SCH. PANSHEVDI
5234,ZP. PRI. SCH. SHEVAREPADA
5029,ZP. UPP. PRI. URDU  GIRL. SCH. ADAWAD
