code,name
5134,C.B.NIKUMBH SECONDARY & HIGHER SECONDARY SCHOOL  GHODAGON
5222,DADASO P J PATIL ASHRAM PRI. ANU. ASH. SCH. SANPULE
5226,JAI SHRI DADAJI HIGHSCHOOL TANDALWADI
5223,KALBHAIRAV MADHYAMIK VIDYALAY SANPULE
5219,KURWEL HIGH SCH. KURWEL
5178,MADHYAMIK VIDYALAYA HINGONE
5100,MAHILA MANDAL MADHYAMIK VIDYALAYA CHOPDA
5088,MAHILA MANDAL VOLUNTARY SCH. CHOPDA
5224,MATOSHRI AVANTABAI PATIL P.B. MADHYAMIK ASH. SCH. SANPULE
5096,MUSTAFA ANGLO URDU HIGH SCHOOL & JR. CALLEGE
5106,MUSTAFA ANGLO URDU PRI. SCH. CHOPDA
5062,P. NEHARU SEC.SCH.  AKULKHEDE
5139,RAMKRUSHNA HIRAJI SEC. SCH. VADHODA
5075,RUKHIMINI  SEC.SCH. VELE -  AKHATWADE
5202,S PATIL PO. BASIC ASHRAM SCH. KARJANA
5067,S.S.PATIL SEC. SCH. CHAHARDI
5065,SARVODAYA PRI. SCH. CHAHARDI
5071,"SEC. SCH,. GHADWEL"
5201,V.P.DESHMUKH PRI. ASHRAM SCH. KARJANA
5165,VIKAS SEC. SCH GANPUR
5092,VIVEKANAND VIDYALAY (PRI.) CHOPDA
5103,VIVEKANAND VIDYALAYA (SEC.) CHOPDA
5063,Z.P. BOYS CENTRAL  SCH. CHAHARDI
5064,Z.P. GIRLS SCH. CHAHARDI
5133,Z.P. KENDRYA PRI. SCH.GHODGAON
5076,Z.P. PRI. SCH VICHKHEDA
5130,Z.P. PRI. SCH. AJANTI SIM
5161,Z.P. PRI. SCH. BHAWALE
5162,Z.P. PRI. SCH. DHUPE
5069,Z.P. PRI. SCH. DHUPE KH
5213,Z.P. PRI. SCH. DONDWADE
5070,Z.P. PRI. SCH. GHADWEL
5177,Z.P. PRI. SCH. HINGONE (MOUJE)
5204,Z.P. PRI. SCH. KHARYAPADAV
5218,Z.P. PRI. SCH. KURWEL-TAVSE BK.
5135,Z.P. PRI. SCH. KUSUMBE
5206,Z.P. PRI. SCH. MULYAUTAR
5209,Z.P. PRI. SCH. SHENPANI
5225,Z.P. PRI. SCH. TANDALWADI
5138,Z.P. PRI. SCH. VADHODA
5131,Z.P. PRI. SCH.ANWARDE BK
5221,Z.P. PRI. SCH.SANPULE
5164,Z.P. SCH. GANPUR
5170,Z.P. SCH. VELODE
5176,Z.P. UPP. PRI. SCH. HINGONE (MAJARE)
5072,Z.P. UPP. PRI. SCH. KAJIPURA
5210,Z.P. UPP. PRI. SCH. VAIJAPUR
5074,Z.P. UPP.PRI. SCH. VELE - AKHATWADE
5220,Z.P.CENTRAL SCH.  NIMGAVHAN
5061,Z.P.PRI. SCH. AKULKHEDE
5132,Z.P.PRI. SCH. DAGADI BK
5137,Z.P.PRI. SCH. MOHIDA
5066,Z.P.PRI. SCH. SAKAR KARKHANA CHAHARDI
5217,Z.P.UPP. PRI. SCH. KHACHANE
5068,ZP. PRI. SCH .WATER TANK  CHAHARDI
